archivo_original,tamano_patron,tiempo_busqueda_ns,ocurrencias
sources,10,2295,47
sources,10,2331,47
sources,10,14805,6
sources,10,2465,6
sources,10,2322,6
sources,10,2325,6
sources,10,2303,6
sources,10,2324,6
sources,10,2308,6
sources,10,2280,6
sources,10,2324,6
sources,10,2291,6
sources,10,2295,6
sources,10,2335,6
sources,10,2278,6
sources,10,2299,6
sources,10,2284,6
sources,10,2284,6
sources,10,2279,6
sources,10,2282,6
sources,10,2340,6
sources,10,2293,6
sources,10,2281,6
sources,10,2347,6
sources,10,2321,6
sources,10,2318,6
sources,10,2314,6
sources,10,2330,6
sources,10,2308,6
sources,10,2289,6
sources,10,2273,6
sources,10,2283,6
sources,10,14054,4
sources,10,2391,4
sources,10,2327,4
sources,10,2342,4
sources,10,2348,4
sources,10,2287,4
sources,10,2289,4
sources,10,2290,4
sources,10,2289,4
sources,10,2285,4
sources,10,2315,4
sources,10,2297,4
sources,10,2298,4
sources,10,2271,4
sources,10,2285,4
sources,10,2287,4
sources,10,2304,4
sources,10,2297,4
sources,10,2314,4
sources,10,2276,4
sources,10,2287,4
sources,10,2305,4
sources,10,2286,4
sources,10,2305,4
sources,10,2294,4
sources,10,2276,4
sources,10,2310,4
sources,10,2272,4
sources,10,2296,4
sources,10,2274,4
sources,10,16393,104
sources,10,2489,104
sources,10,2412,104
sources,10,2425,104
sources,10,2381,104
sources,10,2358,104
sources,10,2440,104
sources,10,2419,104
sources,10,2393,104
sources,10,2384,104
sources,10,2363,104
sources,10,2352,104
sources,10,2427,104
sources,10,2344,104
sources,10,2354,104
sources,10,2351,104
sources,10,2358,104
sources,10,2360,104
sources,10,2372,104
sources,10,2472,104
sources,10,2367,104
sources,10,2363,104
sources,10,2392,104
sources,10,2363,104
sources,10,2356,104
sources,10,2382,104
sources,10,2377,104
sources,10,2382,104
sources,10,2366,104
sources,10,2363,104
sources,10,19678,698
sources,10,2348,698
sources,10,2215,698
sources,10,2250,698
sources,10,2212,698
sources,10,2176,698
