archivo_original,tamano_patron,tiempo_busqueda_ns,ocurrencias
sources,10,567,1
sources,10,585,1
sources,10,538,1
sources,10,542,1
sources,10,549,1
sources,10,541,1
sources,10,605,1
sources,10,538,1
sources,10,537,1
sources,10,562,1
sources,10,552,1
sources,10,541,1
sources,10,80316,1738
sources,10,60303,1738
sources,10,52643,1738
sources,10,48403,1738
sources,10,45312,1738
sources,10,43251,1738
sources,10,41290,1738
sources,10,39635,1738
sources,10,37857,1738
sources,10,37158,1738
sources,10,36221,1738
sources,10,36792,1738
sources,10,43284,1738
sources,10,42255,1738
sources,10,38642,1738
sources,10,35136,1738
sources,10,32840,1738
sources,10,31384,1738
sources,10,30403,1738
sources,10,28565,1738
sources,10,28441,1738
sources,10,27040,1738
sources,10,26198,1738
sources,10,25763,1738
sources,10,25195,1738
sources,10,25170,1738
sources,10,24465,1738
sources,10,24266,1738
sources,10,23960,1738
sources,10,23552,1738
sources,10,41224,818
sources,10,21452,818
sources,10,14088,818
sources,10,11593,818
sources,10,10095,818
sources,10,9500,818
sources,10,9037,818
sources,10,8810,818
sources,10,8685,818
sources,10,8576,818
sources,10,8650,818
sources,10,8598,818
sources,10,8537,818
sources,10,8553,818
sources,10,8466,818
sources,10,8509,818
sources,10,8518,818
sources,10,8650,818
sources,10,8466,818
sources,10,8576,818
sources,10,8481,818
sources,10,8576,818
sources,10,8482,818
sources,10,8489,818
sources,10,8534,818
sources,10,8659,818
sources,10,8576,818
sources,10,8468,818
sources,10,8528,818
sources,10,8484,818
sources,10,13129,1
sources,10,1114,1
sources,10,648,1
sources,10,600,1
sources,10,613,1
sources,10,620,1
sources,10,586,1
sources,10,578,1
sources,10,611,1
sources,10,644,1
sources,10,597,1
sources,10,588,1
sources,10,579,1
sources,10,611,1
sources,10,587,1
sources,10,629,1
sources,10,592,1
sources,10,583,1
sources,10,585,1
sources,10,599,1
sources,10,624,1
sources,10,584,1
sources,10,583,1
sources,10,601,1
sources,10,600,1
sources,10,618,1
sources,10,581,1
sources,10,613,1
sources,10,599,1
sources,10,632,1
sources,10,13551,47
sources,10,1618,47
sources,10,1275,47
sources,10,1207,47
sources,10,1196,47
sources,10,1205,47
sources,10,1203,47
sources,10,1171,47
sources,10,1234,47
sources,10,1198,47
sources,10,1179,47
sources,10,1174,47
sources,10,1222,47
sources,10,1210,47
sources,10,1179,47
sources,10,1205,47
sources,10,1184,47
sources,10,1175,47
sources,10,1160,47
sources,10,1182,47
sources,10,1174,47
sources,10,1170,47
sources,10,1181,47
sources,10,1156,47
sources,10,1186,47
sources,10,1187,47
sources,10,1190,47
sources,10,1235,47
sources,10,1199,47
sources,10,1204,47
sources,10,11673,6
sources,10,952,6
sources,10,699,6
sources,10,655,6
sources,10,646,6
sources,10,731,6
sources,10,637,6
sources,10,635,6
sources,10,635,6
sources,10,639,6
sources,10,635,6
sources,10,643,6
sources,10,643,6
sources,10,627,6
sources,10,709,6
sources,10,687,6
sources,10,667,6
sources,10,631,6
